angle_deg,inner_radius,outer_radius,thickness,inner_radius_mm,outer_radius_mm,thickness_mm
219.000,873.387085,1478.432697,605.045612,17.467742,29.568654,12.100912
220.000,873.387085,1478.451021,605.063936,17.467742,29.569020,12.101279
221.000,873.387085,1478.469345,605.082260,17.467742,29.569387,12.101645
222.000,873.387085,1478.487669,605.100584,17.467742,29.569753,12.102012
223.000,873.387085,1478.505993,605.118908,17.467742,29.570120,12.102378
224.000,873.387085,1478.524317,605.137232,17.467742,29.570486,12.102745
225.000,873.387085,1478.542641,605.155556,17.467742,29.570853,12.103111
226.000,873.387085,1478.560965,605.173880,17.467742,29.571219,12.103478
227.000,873.387085,1478.579289,605.192204,17.467742,29.571586,12.103844
228.000,873.387085,1478.597613,605.210528,17.467742,29.571952,12.104211
229.000,873.387085,1478.615937,605.228852,17.467742,29.572319,12.104577
230.000,873.387085,1478.634261,605.247176,17.467742,29.572685,12.104944
231.000,873.387085,1478.652585,605.265500,17.467742,29.573052,12.105310
232.000,873.387085,1478.670909,605.283824,17.467742,29.573418,12.105676
233.000,873.387085,1478.689233,605.302148,17.467742,29.573785,12.106043
234.000,873.387085,1478.707557,605.320472,17.467742,29.574151,12.106409
235.000,873.387085,1478.725881,605.338796,17.467742,29.574518,12.106776
236.000,873.387085,1478.744205,605.357120,17.467742,29.574884,12.107142
237.000,873.387085,1478.762529,605.375444,17.467742,29.575251,12.107509
238.000,873.387085,1478.780853,605.393768,17.467742,29.575617,12.107875
239.000,873.387085,1478.799177,605.412092,17.467742,29.575984,12.108242
240.000,873.387085,1478.817501,605.430416,17.467742,29.576350,12.108608
241.000,873.387085,1478.835825,605.448740,17.467742,29.576716,12.108975
242.000,873.387085,1478.854149,605.467064,17.467742,29.577083,12.109341
243.000,873.387085,1478.872473,605.485388,17.467742,29.577449,12.109708
244.000,873.387085,1478.890796,605.503712,17.467742,29.577816,12.110074
245.000,873.387085,1478.909120,605.522036,17.467742,29.578182,12.110441
246.000,873.387085,1478.927444,605.540360,17.467742,29.578549,12.110807
247.000,873.387085,1478.945768,605.558684,17.467742,29.578915,12.111174
248.000,873.387085,1478.964092,605.577007,17.467742,29.579282,12.111540
249.000,873.387085,1478.982416,605.595331,17.467742,29.579648,12.111907
250.000,873.387085,1479.000740,605.613655,17.467742,29.580015,12.112273
251.000,873.387085,1479.019064,605.631979,17.467742,29.580381,12.112640
252.000,873.387085,1479.037388,605.650303,17.467742,29.580748,12.113006
253.000,873.387085,1479.055712,605.668627,17.467742,29.581114,12.113373
254.000,873.387085,1479.074036,605.686951,17.467742,29.581481,12.113739
255.000,873.387085,1479.092360,605.705275,17.467742,29.581847,12.114106
256.000,873.387085,1479.110684,605.723599,17.467742,29.582214,12.114472
257.000,873.387085,1479.129008,605.741923,17.467742,29.582580,12.114838
258.000,873.387085,1479.147332,605.760247,17.467742,29.582947,12.115205
259.000,873.387085,1479.165656,605.778571,17.467742,29.583313,12.115571
260.000,873.387085,1479.183980,605.796895,17.467742,29.583680,12.115938
261.000,873.387085,1479.202304,605.815219,17.467742,29.584046,12.116304
262.000,873.387085,1479.220628,605.833543,17.467742,29.584413,12.116671
263.000,873.387085,1479.238952,605.851867,17.467742,29.584779,12.117037
264.000,873.387085,1479.257276,605.870191,17.467742,29.585146,12.117404
265.000,873.387085,1479.275600,605.888515,17.467742,29.585512,12.117770
266.000,873.387085,1479.293924,605.906839,17.467742,29.585878,12.118137
267.000,873.387085,1479.312248,605.925163,17.467742,29.586245,12.118503
268.000,873.387085,1479.330572,605.943487,17.467742,29.586611,12.118870
269.000,873.387085,1479.348896,605.961811,17.467742,29.586978,12.119236
270.000,873.387085,1479.367220,605.980135,17.467742,29.587344,12.119603
271.000,873.387085,1479.385544,605.998459,17.467742,29.587711,12.119969
272.000,873.387085,1479.403867,606.016783,17.467742,29.588077,12.120336
273.000,873.387085,1479.422191,606.035107,17.467742,29.588444,12.120702
274.000,873.387085,1479.440515,606.053431,17.467742,29.588810,12.121069
275.000,873.387085,1479.458839,606.071755,17.467742,29.589177,12.121435
276.000,873.387085,1479.477163,606.090078,17.467742,29.589543,12.121802
277.000,873.387085,1479.495487,606.108402,17.467742,29.589910,12.122168
278.000,873.387085,1479.513811,606.126726,17.467742,29.590276,12.122535
279.000,873.387085,1479.532135,606.145050,17.467742,29.590643,12.122901
280.000,873.387085,1479.550459,606.163374,17.467742,29.591009,12.123267
281.000,873.387085,1479.568783,606.181698,17.467742,29.591376,12.123634
282.000,873.387085,1479.587107,606.200022,17.467742,29.591742,12.124000
283.000,873.387085,1479.605431,606.218346,17.467742,29.592109,12.124367
284.000,873.387085,1479.623755,606.236670,17.467742,29.592475,12.124733
285.000,873.387085,1479.642079,606.254994,17.467742,29.592842,12.125100
286.000,873.387085,1479.660403,606.273318,17.467742,29.593208,12.125466
287.000,873.387085,1479.678727,606.291642,17.467742,29.593575,12.125833
288.000,873.387085,1479.697051,606.309966,17.467742,29.593941,12.126199
289.000,873.387085,1479.715375,606.328290,17.467742,29.594307,12.126566
290.000,873.387085,1479.733699,606.346614,17.467742,29.594674,12.126932
291.000,873.387085,1479.752023,606.364938,17.467742,29.595040,12.127299
292.000,873.387085,1479.770347,606.383262,17.467742,29.595407,12.127665
293.000,873.387085,1479.788671,606.401586,17.467742,29.595773,12.128032
294.000,873.387085,1479.806995,606.419910,17.467742,29.596140,12.128398
295.000,873.387085,1479.825319,606.438234,17.467742,29.596506,12.128765
296.000,873.387085,1479.843643,606.456558,17.467742,29.596873,12.129131
297.000,873.387085,1479.861967,606.474882,17.467742,29.597239,12.129498
298.000,873.387085,1479.880291,606.493206,17.467742,29.597606,12.129864
299.000,873.387085,1479.898615,606.511530,17.467742,29.597972,12.130231
300.000,873.387085,1479.916939,606.529854,17.467742,29.598339,12.130597
301.000,873.387085,1479.935262,606.548178,17.467742,29.598705,12.130964
302.000,873.387085,1479.953586,606.566502,17.467742,29.599072,12.131330
303.000,873.387085,1479.971910,606.584826,17.467742,29.599438,12.131697
304.000,873.387085,1479.990234,606.603150,17.467742,29.599805,12.132063
305.000,873.387085,1480.008558,606.621473,17.467742,29.600171,12.132429
306.000,873.387085,1480.026882,606.639797,17.467742,29.600538,12.132796
307.000,873.387085,1480.045206,606.658121,17.467742,29.600904,12.133162
308.000,873.387085,1480.063530,606.676445,17.467742,29.601271,12.133529
309.000,873.387085,1480.081854,606.694769,17.467742,29.601637,12.133895
310.000,873.387085,1480.100178,606.713093,17.467742,29.602004,12.134262
311.000,873.387085,1480.118502,606.731417,17.467742,29.602370,12.134628
312.000,873.387085,1480.136826,606.749741,17.467742,29.602737,12.134995
313.000,873.387085,1480.155150,606.768065,17.467742,29.603103,12.135361
314.000,873.387085,1480.173474,606.786389,17.467742,29.603469,12.135728
315.000,873.387085,1480.191798,606.804713,17.467742,29.603836,12.136094
316.000,873.387085,1480.210122,606.823037,17.467742,29.604202,12.136461
317.000,873.387085,1480.228446,606.841361,17.467742,29.604569,12.136827
318.000,873.387085,1480.246770,606.859685,17.467742,29.604935,12.137194
319.000,873.387085,1480.265094,606.878009,17.467742,29.605302,12.137560
320.000,873.387085,1480.283418,606.896333,17.467742,29.605668,12.137927
321.000,873.387085,1480.301742,606.914657,17.467742,29.606035,12.138293
322.000,873.387085,1480.320066,606.932981,17.467742,29.606401,12.138660
323.000,873.387085,1480.338390,606.951305,17.467742,29.606768,12.139026
324.000,873.387085,1480.356714,606.969629,17.467742,29.607134,12.139393
325.000,873.387085,1480.375038,606.987953,17.467742,29.607501,12.139759
326.000,873.387085,1480.393362,607.006277,17.467742,29.607867,12.140126
327.000,873.387085,1480.411686,607.024601,17.467742,29.608234,12.140492
